InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
540000,18369A,WATER BOTTLE,39,2011-01-01 08:00:00,64.84,14113,Belgium
540001,75756B,WHITE MUG,24,2011-01-01 08:30:00,25.11,13506,United Kingdom
540002,92652A,RED MUG,21,2011-01-01 09:00:00,53.08,13604,Netherlands
540003,24709A,PHOTO FRAME,19,2011-01-01 09:30:00,86.77,15529,Belgium
540004,99463A,BLUE PEN,33,2011-01-01 10:00:00,71.54,16210,Germany
540005,81134B,GIFT BAG,25,2011-01-01 10:30:00,43.75,12567,Spain
540006,61066B,TOY CAR,37,2011-01-01 11:00:00,57.29,16804,Belgium
540007,13547A,CLOCK,28,2011-01-01 11:30:00,74.46,17104,Italy
540008,64873B,GIFT BAG,24,2011-01-01 12:00:00,103.54,18247,Portugal
540009,79777C,GIFT BAG,27,2011-01-01 12:30:00,122.33,17255,Norway
540010,53009B,BLUE PEN,35,2011-01-01 13:00:00,96.35,16583,Norway
540011,78983A,GIFT BAG,2,2011-01-01 13:30:00,28.67,15955,Norway
540012,75395A,CANDLE,48,2011-01-01 14:00:00,60.21,16109,United Kingdom
540013,66117B,CANDLE,10,2011-01-01 14:30:00,148.59,17373,Norway
540014,89354C,RED MUG,40,2011-01-01 15:00:00,18.79,17990,Portugal
540015,74016C,WHITE MUG,12,2011-01-01 15:30:00,128.41,15565,Portugal
540016,33984A,CANDLE,14,2011-01-01 16:00:00,128.17,17617,France
540017,38276B,GIFT BAG,9,2011-01-01 16:30:00,137.59,15953,Netherlands
540018,88799A,GIFT BAG,12,2011-01-01 17:00:00,6.74,12609,Italy
540019,42897C,NOTEBOOK,45,2011-01-01 17:30:00,110.92,14807,Italy
540020,60310C,GIFT BAG,44,2011-01-01 18:00:00,99.7,13211,Australia
540021,19645A,TOY CAR,38,2011-01-01 18:30:00,96.43,13828,France
540022,74064C,TOY CAR,49,2011-01-01 19:00:00,122.74,16424,United Kingdom
540023,84729B,GIFT BAG,4,2011-01-01 19:30:00,23.82,14958,Italy
540024,19705C,TOY CAR,30,2011-01-01 20:00:00,21.19,15304,Spain
540025,47298A,BLUE PEN,42,2011-01-01 20:30:00,71.03,12393,United Kingdom
540026,18553A,CLOCK,4,2011-01-01 21:00:00,86.85,14366,Australia
540027,99932A,WHITE MUG,13,2011-01-01 21:30:00,40.62,13937,Australia
540028,15607C,TOY CAR,26,2011-01-01 22:00:00,110.92,17712,France
540029,95120B,WATER BOTTLE,28,2011-01-01 22:30:00,36.3,14640,France
540030,65792B,TOY CAR,35,2011-01-01 23:00:00,50.81,15453,Portugal
540031,28588B,CANDLE,37,2011-01-01 23:30:00,129.77,14728,Portugal
540032,16500C,BLUE PEN,27,2011-01-02 00:00:00,132.26,12719,Netherlands
540033,94723C,PHOTO FRAME,4,2011-01-02 00:30:00,38.39,17683,France
540034,15262A,GIFT BAG,34,2011-01-02 01:00:00,116.16,13636,Italy
540035,44898B,GIFT BAG,9,2011-01-02 01:30:00,129.13,17944,Germany
540036,63120B,WHITE MUG,50,2011-01-02 02:00:00,71.04,15456,Italy
540037,39928B,PHOTO FRAME,4,2011-01-02 02:30:00,73.89,18151,France
540038,86739A,BLUE PEN,2,2011-01-02 03:00:00,39.65,12733,Portugal
540039,95798C,TOY CAR,46,2011-01-02 03:30:00,17.22,12641,Belgium
540040,36773B,TOY CAR,31,2011-01-02 04:00:00,134.44,14093,Australia
540041,24174C,PHOTO FRAME,33,2011-01-02 04:30:00,96.58,13965,France
540042,80905A,BLUE PEN,50,2011-01-02 05:00:00,22.1,15148,United Kingdom
540043,20848C,NOTEBOOK,12,2011-01-02 05:30:00,104.58,17079,Spain
540044,93886B,WHITE MUG,44,2011-01-02 06:00:00,93.44,13261,Germany
540045,99097A,CANDLE,3,2011-01-02 06:30:00,54.12,13640,Netherlands
540046,80432C,CANDLE,2,2011-01-02 07:00:00,26.32,17679,Spain
540047,94647B,CANDLE,40,2011-01-02 07:30:00,77.79,13886,Portugal
540048,98507C,RED MUG,39,2011-01-02 08:00:00,69.37,14742,United Kingdom
540049,73412B,TOY CAR,14,2011-01-02 08:30:00,115.6,12811,Netherlands
540050,22050B,TOY CAR,19,2011-01-02 09:00:00,23.65,17535,Belgium
540051,80680A,WATER BOTTLE,10,2011-01-02 09:30:00,58.84,14699,Spain
540052,57806A,WATER BOTTLE,22,2011-01-02 10:00:00,24.58,17993,Netherlands
540053,90822B,WATER BOTTLE,49,2011-01-02 10:30:00,52.52,17772,Italy
540054,59028B,WATER BOTTLE,29,2011-01-02 11:00:00,24.46,17211,Spain
540055,25497B,WATER BOTTLE,28,2011-01-02 11:30:00,138.16,15909,France
540056,94150A,CANDLE,30,2011-01-02 12:00:00,144.57,12578,United Kingdom
540057,99587B,BLUE PEN,49,2011-01-02 12:30:00,141.51,14398,Australia
540058,28470C,TOY CAR,27,2011-01-02 13:00:00,139.38,17906,Belgium
540059,99311A,WHITE MUG,9,2011-01-02 13:30:00,58.19,14798,Italy
540060,21717C,RED MUG,32,2011-01-02 14:00:00,86.23,13320,Australia
540061,15968C,TOY CAR,26,2011-01-02 14:30:00,145.99,13414,Norway
540062,56968B,CANDLE,31,2011-01-02 15:00:00,73.3,13085,Portugal
540063,95265A,PHOTO FRAME,39,2011-01-02 15:30:00,50.89,15726,United Kingdom
540064,44242A,WATER BOTTLE,32,2011-01-02 16:00:00,105.32,13001,Netherlands
540065,88702B,PHOTO FRAME,4,2011-01-02 16:30:00,66.43,12831,Belgium
540066,31466C,BLUE PEN,15,2011-01-02 17:00:00,57.7,15115,Spain
540067,45180A,WATER BOTTLE,8,2011-01-02 17:30:00,111.82,15629,Portugal
540068,16396C,WHITE MUG,41,2011-01-02 18:00:00,37.99,13938,Belgium
540069,65560A,RED MUG,21,2011-01-02 18:30:00,147.37,16293,France
540070,80767C,NOTEBOOK,10,2011-01-02 19:00:00,35.44,15185,Netherlands
540071,63683A,NOTEBOOK,12,2011-01-02 19:30:00,37.83,17184,United Kingdom
540072,99959A,WHITE MUG,37,2011-01-02 20:00:00,41.64,15724,Portugal
540073,68780A,WHITE MUG,16,2011-01-02 20:30:00,113.55,13490,Norway
540074,31880A,WATER BOTTLE,40,2011-01-02 21:00:00,123.57,14028,Norway
540075,12771C,PHOTO FRAME,44,2011-01-02 21:30:00,127.72,15627,Netherlands
540076,78748B,WHITE MUG,37,2011-01-02 22:00:00,100.83,16853,United Kingdom
540077,30857C,TOY CAR,11,2011-01-02 22:30:00,39.98,15560,Portugal
540078,72181C,TOY CAR,38,2011-01-02 23:00:00,144.72,14253,France
540079,63906B,WATER BOTTLE,36,2011-01-02 23:30:00,34.58,16147,Belgium
540080,62996B,NOTEBOOK,9,2011-01-03 00:00:00,137.63,15077,United Kingdom
540081,62065B,WATER BOTTLE,47,2011-01-03 00:30:00,133.62,13338,United Kingdom
540082,95765A,CLOCK,15,2011-01-03 01:00:00,81.89,12636,Netherlands
540083,61001B,CANDLE,18,2011-01-03 01:30:00,65.12,13152,Netherlands
540084,65598B,CANDLE,36,2011-01-03 02:00:00,86.99,16969,Italy
540085,54029A,PHOTO FRAME,33,2011-01-03 02:30:00,1.99,15358,Portugal
540086,19913C,GIFT BAG,30,2011-01-03 03:00:00,6.62,14504,Italy
540087,31309A,TOY CAR,13,2011-01-03 03:30:00,10.87,18220,Italy
540088,65017C,WHITE MUG,46,2011-01-03 04:00:00,34.45,17318,Norway
540089,64036B,RED MUG,44,2011-01-03 04:30:00,37.15,12646,Belgium
540090,36443C,CANDLE,10,2011-01-03 05:00:00,78.89,16498,Germany
540091,25518B,WATER BOTTLE,19,2011-01-03 05:30:00,136.75,12399,Germany
540092,51728B,WATER BOTTLE,21,2011-01-03 06:00:00,73.41,14589,Netherlands
540093,28614C,NOTEBOOK,32,2011-01-03 06:30:00,85.62,14001,Italy
540094,30843A,GIFT BAG,9,2011-01-03 07:00:00,53.49,13787,Italy
540095,49566B,WHITE MUG,2,2011-01-03 07:30:00,83.14,16877,Belgium
540096,58080B,NOTEBOOK,37,2011-01-03 08:00:00,116.08,13410,Australia
540097,23210B,WATER BOTTLE,14,2011-01-03 08:30:00,98.19,14160,France
540098,48164A,RED MUG,21,2011-01-03 09:00:00,63.0,16178,France
540099,63517A,TOY CAR,41,2011-01-03 09:30:00,17.38,17330,Portugal
540100,95188B,BLUE PEN,16,2011-01-03 10:00:00,55.89,12971,United Kingdom
540101,89390A,BLUE PEN,34,2011-01-03 10:30:00,102.16,14532,Spain
540102,51001B,RED MUG,46,2011-01-03 11:00:00,90.77,15486,Spain
540103,66028A,CANDLE,30,2011-01-03 11:30:00,112.12,17031,United Kingdom
540104,97363C,CLOCK,4,2011-01-03 12:00:00,33.84,15150,Netherlands
540105,72294C,GIFT BAG,17,2011-01-03 12:30:00,1.49,14257,Netherlands
540106,99822A,BLUE PEN,35,2011-01-03 13:00:00,85.43,15557,France
540107,92117A,WHITE MUG,16,2011-01-03 13:30:00,82.9,13228,Italy
540108,45084B,PHOTO FRAME,6,2011-01-03 14:00:00,31.83,14096,Portugal
540109,65918A,RED MUG,25,2011-01-03 14:30:00,0.75,16932,Norway
540110,96456B,WHITE MUG,5,2011-01-03 15:00:00,121.51,14842,Spain
540111,13512A,WATER BOTTLE,46,2011-01-03 15:30:00,12.29,14192,Belgium
540112,89419B,GIFT BAG,43,2011-01-03 16:00:00,5.72,16386,Portugal
540113,69846B,CLOCK,49,2011-01-03 16:30:00,58.47,13434,Italy
